guid,true_label,pred_label,true_label_id,pred_label_id
4765,neutral,positive,1,2
4586,positive,negative,2,0
1538,negative,positive,0,2
2459,neutral,positive,1,2
3486,positive,negative,2,0
2864,neutral,negative,1,0
47,positive,negative,2,0
1837,neutral,negative,1,0
4097,positive,negative,2,0
2361,neutral,negative,1,0
4650,neutral,negative,1,0
946,positive,negative,2,0
646,positive,negative,2,0
536,positive,negative,2,0
1162,neutral,negative,1,0
1307,negative,positive,0,2
2945,negative,positive,0,2
4626,positive,negative,2,0
3709,positive,negative,2,0
2765,positive,negative,2,0
1763,positive,negative,2,0
276,positive,negative,2,0
143,positive,negative,2,0
905,neutral,negative,1,0
3116,positive,negative,2,0
1279,neutral,positive,1,2
3815,positive,negative,2,0
591,neutral,positive,1,2
1203,positive,negative,2,0
825,neutral,negative,1,0
4465,negative,neutral,0,1
506,positive,neutral,2,1
2950,negative,positive,0,2
2985,neutral,negative,1,0
4399,positive,negative,2,0
4462,neutral,negative,1,0
5120,positive,negative,2,0
1300,positive,negative,2,0
2375,neutral,negative,1,0
1925,positive,negative,2,0
2324,positive,negative,2,0
2330,negative,positive,0,2
4421,negative,positive,0,2
2095,neutral,positive,1,2
984,neutral,positive,1,2
4967,positive,neutral,2,1
1944,positive,negative,2,0
1457,neutral,positive,1,2
3995,positive,negative,2,0
3916,negative,positive,0,2
1714,neutral,positive,1,2
4514,negative,positive,0,2
2794,negative,positive,0,2
