guid,true_label,pred_label,true_label_id,pred_label_id
4481,positive,negative,2,0
5121,positive,neutral,2,1
4060,positive,negative,2,0
4639,negative,neutral,0,1
3704,positive,negative,2,0
628,negative,positive,0,2
1851,negative,positive,0,2
5089,negative,positive,0,2
4806,positive,negative,2,0
4627,negative,positive,0,2
4583,positive,negative,2,0
2101,positive,neutral,2,1
1510,negative,positive,0,2
2313,negative,positive,0,2
1692,neutral,negative,1,0
531,neutral,positive,1,2
4943,negative,positive,0,2
1515,negative,positive,0,2
3477,positive,negative,2,0
642,negative,positive,0,2
5063,positive,negative,2,0
3446,positive,negative,2,0
1391,positive,negative,2,0
2076,positive,negative,2,0
3335,positive,neutral,2,1
2368,positive,neutral,2,1
3800,negative,positive,0,2
1676,negative,positive,0,2
3210,negative,positive,0,2
4349,negative,positive,0,2
73,neutral,negative,1,0
5099,positive,negative,2,0
5119,positive,negative,2,0
933,positive,negative,2,0
202,negative,positive,0,2
4972,positive,negative,2,0
2634,positive,negative,2,0
4059,negative,positive,0,2
4739,negative,positive,0,2
4172,negative,positive,0,2
4841,negative,positive,0,2
687,negative,positive,0,2
2933,neutral,negative,1,0
1809,negative,positive,0,2
1104,neutral,positive,1,2
4120,positive,negative,2,0
655,positive,neutral,2,1
4426,positive,negative,2,0
1706,positive,negative,2,0
1919,negative,positive,0,2
2574,positive,negative,2,0
1561,negative,positive,0,2
3825,negative,positive,0,2
1080,positive,negative,2,0
672,negative,positive,0,2
3357,positive,negative,2,0
1959,negative,positive,0,2
4765,neutral,positive,1,2
1992,negative,positive,0,2
1538,negative,positive,0,2
1254,negative,neutral,0,1
2459,neutral,positive,1,2
3486,positive,negative,2,0
2864,neutral,positive,1,2
4570,negative,neutral,0,1
4097,positive,neutral,2,1
2361,neutral,negative,1,0
4650,neutral,negative,1,0
946,positive,negative,2,0
4382,positive,negative,2,0
646,positive,negative,2,0
4101,positive,neutral,2,1
536,positive,negative,2,0
1162,neutral,negative,1,0
1307,negative,positive,0,2
2945,negative,positive,0,2
4626,positive,neutral,2,1
3501,negative,positive,0,2
2765,positive,negative,2,0
276,positive,negative,2,0
203,negative,neutral,0,1
905,neutral,negative,1,0
1279,neutral,positive,1,2
3815,positive,negative,2,0
2972,positive,neutral,2,1
591,neutral,positive,1,2
1203,positive,negative,2,0
825,neutral,negative,1,0
4465,negative,neutral,0,1
5022,negative,positive,0,2
1014,negative,positive,0,2
2931,negative,positive,0,2
2950,negative,positive,0,2
2985,neutral,negative,1,0
5120,positive,negative,2,0
1300,positive,neutral,2,1
2375,neutral,positive,1,2
2324,positive,neutral,2,1
2330,negative,positive,0,2
4421,negative,neutral,0,1
550,negative,positive,0,2
4210,negative,positive,0,2
2095,neutral,positive,1,2
4592,negative,positive,0,2
984,neutral,positive,1,2
4967,positive,neutral,2,1
1457,neutral,positive,1,2
3875,negative,positive,0,2
30,negative,positive,0,2
3916,negative,positive,0,2
1714,neutral,positive,1,2
4514,negative,positive,0,2
1333,negative,neutral,0,1
3581,negative,positive,0,2
2794,negative,neutral,0,1
