guid,true_label,pred_label,true_label_id,pred_label_id
2086,positive,negative,2,0
3558,positive,negative,2,0
3673,neutral,positive,1,2
5103,positive,negative,2,0
2363,negative,positive,0,2
1761,negative,positive,0,2
2729,positive,negative,2,0
2862,neutral,positive,1,2
927,neutral,negative,1,0
1102,negative,positive,0,2
3333,neutral,positive,1,2
618,neutral,positive,1,2
4473,positive,neutral,2,1
602,negative,positive,0,2
2038,neutral,positive,1,2
2126,negative,positive,0,2
1561,negative,positive,0,2
1288,negative,positive,0,2
1520,negative,positive,0,2
5025,negative,positive,0,2
30,negative,positive,0,2
2102,neutral,positive,1,2
3797,neutral,positive,1,2
4824,negative,positive,0,2
4346,negative,positive,0,2
3004,positive,neutral,2,1
2651,negative,positive,0,2
4908,negative,positive,0,2
3822,positive,negative,2,0
1710,negative,positive,0,2
159,negative,positive,0,2
4131,positive,neutral,2,1
2108,positive,negative,2,0
920,negative,positive,0,2
4286,positive,negative,2,0
936,neutral,positive,1,2
4602,negative,positive,0,2
1015,positive,negative,2,0
177,positive,negative,2,0
2884,positive,negative,2,0
830,negative,positive,0,2
4183,negative,positive,0,2
1841,negative,positive,0,2
3125,negative,neutral,0,1
2514,negative,positive,0,2
506,positive,neutral,2,1
2985,neutral,positive,1,2
3330,neutral,positive,1,2
865,neutral,negative,1,0
1156,negative,positive,0,2
1407,positive,negative,2,0
4433,negative,positive,0,2
1815,positive,negative,2,0
2101,positive,negative,2,0
119,negative,positive,0,2
3337,negative,positive,0,2
4606,negative,positive,0,2
3113,positive,negative,2,0
4426,positive,negative,2,0
1264,negative,positive,0,2
4743,positive,negative,2,0
778,negative,neutral,0,1
1419,neutral,negative,1,0
2937,neutral,negative,1,0
3831,negative,positive,0,2
2376,positive,negative,2,0
4649,positive,negative,2,0
2879,positive,neutral,2,1
4650,neutral,positive,1,2
4186,neutral,positive,1,2
591,neutral,positive,1,2
24,neutral,negative,1,0
2603,negative,neutral,0,1
2349,positive,neutral,2,1
4092,neutral,positive,1,2
3718,positive,negative,2,0
2864,neutral,positive,1,2
243,neutral,positive,1,2
3808,neutral,positive,1,2
3365,negative,positive,0,2
1267,positive,negative,2,0
4962,positive,negative,2,0
2453,neutral,positive,1,2
53,positive,neutral,2,1
2794,negative,positive,0,2
5121,positive,neutral,2,1
2656,positive,neutral,2,1
1787,positive,negative,2,0
3159,neutral,negative,1,0
2783,negative,positive,0,2
3055,negative,positive,0,2
2659,positive,neutral,2,1
3141,negative,positive,0,2
3501,negative,positive,0,2
244,positive,neutral,2,1
4988,positive,negative,2,0
3768,negative,neutral,0,1
3491,negative,positive,0,2
2106,positive,negative,2,0
3452,negative,positive,0,2
1144,neutral,positive,1,2
687,negative,positive,0,2
4849,negative,positive,0,2
2575,positive,negative,2,0
2747,negative,positive,0,2
3939,positive,negative,2,0
3267,neutral,positive,1,2
3990,positive,negative,2,0
621,neutral,positive,1,2
985,neutral,positive,1,2
1400,neutral,negative,1,0
3334,positive,neutral,2,1
1515,negative,positive,0,2
3212,neutral,positive,1,2
3829,neutral,negative,1,0
1008,positive,negative,2,0
2953,positive,negative,2,0
2665,neutral,negative,1,0
3155,negative,positive,0,2
3866,neutral,positive,1,2
155,neutral,negative,1,0
4863,neutral,positive,1,2
1608,positive,negative,2,0
658,positive,negative,2,0
1090,negative,positive,0,2
732,negative,positive,0,2
3299,neutral,negative,1,0
5077,negative,neutral,0,1
4068,positive,negative,2,0
3852,positive,negative,2,0
3423,positive,negative,2,0
2360,negative,positive,0,2
3050,negative,positive,0,2
2056,neutral,positive,1,2
1261,neutral,negative,1,0
3849,positive,negative,2,0
181,neutral,positive,1,2
984,neutral,positive,1,2
2900,positive,negative,2,0
4831,negative,positive,0,2
4382,positive,negative,2,0
1526,negative,positive,0,2
1727,positive,neutral,2,1
97,negative,positive,0,2
4722,positive,negative,2,0
3060,negative,positive,0,2
3357,positive,negative,2,0
905,neutral,negative,1,0
2015,negative,positive,0,2
790,positive,negative,2,0
3878,negative,positive,0,2
4540,positive,neutral,2,1
3943,negative,positive,0,2
2159,positive,negative,2,0
856,negative,positive,0,2
1964,neutral,positive,1,2
330,neutral,positive,1,2
267,positive,negative,2,0
2701,positive,neutral,2,1
855,positive,negative,2,0
1190,positive,negative,2,0
2819,positive,negative,2,0
